pathway,E1R1_0_3cm_-CH4_+O2,E1R1_3_6cm_-CH4_+O2,E1R1_6_9cm_-CH4_+O2,E1R2_0_3cm_-CH4_+O2,E1R2_3_6cm_-CH4_+O2,E1R2_6_9cm_-CH4_+O2,E1R1_0_3cm_+CH4_+O2,E1R1_3_6cm_+CH4_+O2,E1R1_6_9cm_+CH4_+O2,E1R2_0_3cm_+CH4_+O2,E1R2_3_6cm_+CH4_+O2,E1R2_6_9cm_+CH4_+O2,E1T0_0_3cm,E1T0_3_6cm,E1T0_6-9cm,E2R1_6_9cm_+CH4_+O2,E2R2_6_9cm_+CH4_+O2,E2R3_6_9cm_+CH4_+O2,E3_0_3cm_+CH4_+O2,E3_0_3cm_-CH4_+O2,E4_0_3cm_+CH4_+O2,E4_0_3cm_-CH4_+O2,E5T0_4_8cm,E5T0_0_4cm,E5_4_8cm_+CH4_-O2,E5_4_8cm_-CH4_-O2,E5_0_4cm_+CH4_+O2,E5_0_4cm_-CH4_+O2,E6T0_4_8cm,E6T0_0_4cm,E6_4_8cm_+CH4_-O2,E6_4_8cm_-CH4_-O2,E6_0_4cm_+CH4_+O2,E6_0_4cm_-CH4_+O2
Aceticlastic methanogenesis,15.709153189665225,15.784036293870605,15.757765749632346,15.681878614384367,15.747365686451113,15.780107960651243,15.675098268299424,15.746713772070745,15.758814217055567,15.688666939249899,15.770682337950237,15.768005578006164,15.740490647368025,15.79713922902214,15.803417592067454,15.745387376134452,15.753321260745777,15.771645833257466,15.625978853532636,15.637243362498738,15.740486653790938,15.77408906078025,15.89158953606027,15.587137284867108,15.798262784407969,15.812302584298518,15.587836856473144,15.549075505843604,16.01537364211229,15.749295550980296,15.93324245814445,15.910482265926737,15.7356337843176,15.736765405078646
Anaerobic oxidation of methane (AOM),14.164061113526023,14.057220590744949,14.047275641721146,14.111966039128063,14.07140133291191,14.036651906980236,14.079728434320298,14.028215325942133,14.08441196391603,14.106969939859152,14.065542601196078,14.009337285824934,14.092343689976335,14.042129182328674,14.007378080867754,13.945917113063357,13.92884568176428,13.922256658024468,14.261667536289035,14.237936122266904,14.058181962788343,14.001672743401944,13.651165790590118,14.032810056285351,13.717883214808717,13.658840879505568,14.123505069315277,14.07431391273715,13.719722430787474,13.995864322528773,13.807463635737713,13.807150502564962,13.986469749647316,13.958788937508277
Annamox,10.00584169197711,10.060339395879312,10.155433895576552,9.988030866439976,10.13423784011926,10.153404011519076,10.027138501398651,10.114885070180698,10.20692063379596,10.031801519203196,10.05037738200225,10.185457385210677,10.02539618202503,10.06520217952774,10.171591915323646,10.316552949288315,10.32203107542562,10.388365939528764,10.40324784486189,10.30929701219063,10.045805615357938,10.083374538703138,10.107575772462008,10.152038040303799,9.899828741377338,10.043821662377276,10.356890125665878,10.138790839283548,10.056692150245665,9.979109451769144,10.014737326801669,10.000531764087553,10.020263258049722,10.111487831499781
Assimilatory nitrate reduction,11.235409451913725,11.09878157953297,11.068069263249622,11.30176278857187,11.095261538732919,10.985460094375687,11.267263200011364,11.096938296414773,11.183496033409419,11.186493159688942,11.076416309791997,11.047958016695187,11.310223779793589,11.21906389130559,11.110232394608685,11.210540900245867,11.216485079840956,11.146717577249026,11.056526268597281,11.096076163428126,11.067097426792472,11.10190828336526,11.166620453150275,11.08248187213358,11.329133937288146,11.219173299596653,11.176234884017651,11.249808752158874,11.032685020785099,11.019590175313608,11.15415916267684,11.136872603930033,11.113073380770988,11.143817565952315
Assimilatory sulphate reduction,13.844311648867585,13.846974636248964,13.819259527165023,13.89906075069867,13.83490961744643,13.817729633288854,13.924526160938399,13.879209541949773,13.849399593315608,13.871142412169364,13.864145153263642,13.824174318642594,13.896778776773962,13.852980589969304,13.851713720848359,13.81004481312091,13.819458078234268,13.805318956899344,13.966011604158862,13.973165753606075,13.863178878566888,13.898438135276356,13.814993758271797,13.83764429752809,13.787608765882148,13.800412961664302,13.857416416956482,13.908811610010565,13.867318547924237,13.862803841206315,13.815559218372705,13.833485083452453,13.931150352385522,13.908956642986327
Central methanogenic pathway,15.183824368400087,15.387219521799096,15.39800110452703,15.204549288750735,15.368606886824624,15.463312694616397,15.162554844914242,15.32591255989744,15.454432311498957,15.217976560269813,15.378415386598467,15.445724048796938,15.307569943260471,15.46052206279536,15.53847548733928,15.627820418764165,15.576971194512899,15.576184202943356,15.244212059766095,15.23361155882398,15.400148320888405,15.462037678031772,16.159527685002438,14.970507672083572,15.996572579358457,16.08583893795334,15.128334998278685,14.947849469744835,16.087515134658737,15.375146754356761,16.04683222269813,15.940720864118967,15.349367464836476,15.332771369376616
Denitrication,13.907892720119523,13.891629120073043,13.726244964412249,13.985805239374809,13.871659391847968,13.812532188743864,13.995310219302487,13.855926083865864,13.809114062770723,13.99980949213903,13.913756492010549,13.763684501438409,14.030176281815875,13.888923105105548,13.76057186358679,13.577895587126086,13.650537327364011,13.571021961892487,13.75695114119081,13.723116552483432,13.831035523998327,13.880157355397499,13.19707192634076,13.71670959701485,13.263620404928142,13.241229112048526,13.878061081852179,13.733333979130734,13.361559069081814,13.727962852667691,13.425236464886826,13.433461463576721,13.859943695751165,13.81026973800315
Dissimilatory nitrate reduction,12.171347596740368,12.270061959816855,12.226089359708023,12.271516192455989,12.234952038676315,12.26610174403242,12.249857764751177,12.224686896036182,12.240529266948833,12.302081820073706,12.275640932612541,12.2394248655482,12.357269303311071,12.367205019464693,12.2212131543972,12.275002844123472,12.18598382112269,12.212962460722094,12.19222035804945,12.200520254745806,12.391926673184411,12.394748449360526,12.10683063891992,11.977307635356325,12.12868068771716,12.136224685248424,12.089153283587702,12.050540086550981,12.240768893050804,12.25891506784613,12.288589915039461,12.240133583319775,12.229341600053004,12.233722845146916
Dissimilatory sulphur reduction and oxidation,13.863939927205411,14.041595313292126,14.063818159920718,13.880155950106193,14.075585351772963,14.154173723541438,13.882994619821389,13.978840902721826,14.074651875738779,13.922177870689733,14.070606640743357,14.052582855848545,13.982059446653226,14.1104865592963,14.139715158953587,14.279104079878353,14.166182968131054,14.222314518957532,13.82742663809335,13.823555137108293,14.115638781235942,14.136344762249442,14.487810003299913,13.460549746065068,14.427468424611472,14.49949066014883,13.68698312531004,13.447321590253596,14.637634303928193,14.026921677955576,14.589407633960976,14.515649222377133,13.986533892557393,13.957456636071306
Hydrogenotrophic methanogenesis,12.564911264936779,12.486904124757915,12.518888391842623,12.496343039225286,12.506571447383022,12.439439080642334,12.545471561893505,12.550959456651745,12.484653353173458,12.520447354731298,12.495210426859497,12.494250397343233,12.467800837924008,12.447658839907893,12.40503668851065,12.42128379344719,12.449233820221949,12.463369266520466,12.565426855847553,12.571877270644746,12.470888401017962,12.44909436041662,12.480532654082847,12.735518009931141,12.522372597695217,12.533923725616084,12.63770156588737,12.742835584422867,12.433000954006031,12.587503808180879,12.309550161157771,12.364885079388914,12.529110310993008,12.494034408212631
