pathway,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SOX systems,4175.071139406523,-0.33155921337536737,0.05503482944359096,-6.024534221827753,1.6959731866958707e-9,6.44469810944431e-8
Sulphur reduction,12550.972874201803,0.6466879071367961,0.11360393007258571,5.692478303555199,1.252085132126548e-8,2.3789617510404413e-7
Phosphonate and phosphinate metabolism,3782.021412121068,-0.34726365814598703,0.06433851082097947,-5.397446315042024,6.759609020939896e-8,7.553148561609066e-7
Related Nitrogen genes,3311.8431086105247,0.7133400495275747,0.13288144402049742,5.368244263040515,7.950682696430596e-8,7.553148561609066e-7
Oxidation of formate,10439.731569310992,0.19863925601419696,0.03761399756638378,5.280992951191234,1.284856343547073e-7,9.764908210957754e-7
Organic sulphur transformation,57773.756849364894,-0.3118853044634184,0.05955094443665857,-5.237285611736277,1.6295541757230397e-7,1.0320509779579252e-6
Denitrication,12877.224020138723,-0.29964788894234534,0.058497194770958806,-5.122431769858251,3.016202519505817e-7,1.4864309321256146e-6
Sulphur oxidation,11492.18737495413,-0.2051103654049259,0.04009596218611186,-5.1154868027077915,3.1293282781591885e-7,1.4864309321256146e-6
RuMP cycle,13302.350687748549,0.2558052773231448,0.051383217054101,4.9783818917723535,6.411805040068756e-7,2.7072065724734747e-6
Central methanogenic pathway,45700.229128100924,0.39921838544362986,0.0810916704572735,4.9230504587271335,8.520547112376576e-7,2.94346172973009e-6
Oxidation of formaldehyde,6052.166227152248,-0.3616000006664463,0.07342819850330551,-4.924538638247651,8.455962018450058e-7,2.94346172973009e-6
Assimilatory sulphate reduction,13890.4601926517,-0.07272675339421877,0.015448841157427083,-4.707586326580563,2.506671377666017e-6,7.937792695942387e-6
Linkages between inorganic and organic sulphur transformation,33465.36600092779,-0.14467973244575033,0.03087331624946828,-4.686238798471871,2.7827156384186247e-6,8.134091866146748e-6
Oxidation of methane and C1 compounds,11885.6343464001,-0.24639984782933289,0.05292927151432564,-4.6552661840933,3.2356241065877993e-6,8.782408289309742e-6
Organic phosphoester hydrolysis,3903.985382244544,-0.27482852278263237,0.06047996489103436,-4.544125038395539,5.516390706827354e-6,1.3974856457295963e-5
Oxidative phosphorylation,6463.968874998431,-0.15170411575756573,0.03413509108790515,-4.444227653205766,8.820816607895305e-6,2.094943944375135e-5
Dissimilatory sulphur reduction and oxidation,16391.02573878732,0.3572417680471916,0.0855242687422403,4.177080649749542,2.9527435355727523e-5,6.600250255986152e-5
Methylotrophic methanogenesis,4932.788799990857,0.3409445557733472,0.08234532880290867,4.1404237584549435,3.4666481756716174e-5,7.318479481973415e-5
Phosphotransferase system,2129.287027244305,0.3446734369364666,0.08373496576594,4.1162426446786204,3.850988850324076e-5,7.701977700648152e-5
Organic degradation and synthesis,56714.15632328881,-0.04539492273236906,0.011171627596087391,-4.063411740315046,4.8360613369145606e-5,9.188516540137664e-5
Anaerobic oxidation of methane (AOM),15700.981863801042,-0.1576954913870611,0.039504368813305574,-3.9918494111959397,6.55600013279216e-5,1.186323833552867e-4
Aceticlastic methanogenesis,55766.390993224304,0.10844861347951368,0.028504855452492928,3.804566336435471,1.4205284054624308e-4,2.4536399730714715e-4
Related sulphur genes,10136.955622027845,-0.18422698100591572,0.05174590590694156,-3.560223321574939,3.7053953969579676e-4,5.947985349232119e-4
Transporters,18945.836377146232,-0.10236654771414525,0.028782004981728872,-3.5566162878204155,3.756622325830812e-4,5.947985349232119e-4
Pyruvate metabolism,21179.939214256665,0.05788571420446912,0.018394047703647328,3.1469807590523455,0.001649658170287356,0.002507480418836781
Serine cycle,62137.41118897297,0.058788035675743894,0.01914477870827119,3.070708550438636,0.0021355149121484607,0.003121137179293904
Purine metabolism,78153.83892146878,0.06861329981189458,0.02290968302769449,2.9949475830351315,0.002744920078318306,0.003863220850966505
Nitrification,1355.91781839866,0.23442263342543646,0.07886670892248535,2.9723902091038217,0.0029549087177914725,0.004010233259859856
Nitrogen fixation,318.957609798533,0.5250368286241459,0.21519878260869477,2.439776016664755,0.014696370825329402,0.019257313495259217
Sulphur disproportionation,464.886034487014,0.31476135169375796,0.14243352277280924,2.209882516181411,0.027113316949043623,0.03434353480212192
Hydrogenotrophic methanogenesis,4437.677956415369,-0.0959958928588164,0.04504098027115106,-2.1313011457768423,0.03306434074264164,0.0405304822006575
Pentose phosphate pathway,15886.991499238822,-0.022790479955715922,0.014063302174066143,-1.620563909786664,0.10511119755458027,0.12481954709606408
Assimilatory nitrate reduction,911.1693317024699,-0.11316432992363046,0.07968226220487828,-1.4201947433754252,0.15555099359181412,0.1791193259542102
Two-component system,23007.562900232242,0.02826958109541082,0.02051934741514561,1.3777037116952686,0.16829478492119054,0.18809417138250709
Dissimilatory nitrate reduction,3387.2637280876434,-0.038065412901285206,0.044723798036335666,-0.8511220999244992,0.3947015301532657,0.42853308988068844
Annamox,65.21891714698411,0.30294894923955457,0.3903353160833775,0.7761248771424085,0.4376752563959849,0.4619905484179841
Pyrimidine metabolism,35476.03579855323,0.007163544086783467,0.018985664054275198,0.37731332790387057,0.7059407686841086,0.7250202489188142
Related phosphorus genes,2969.429612969397,0.0065591236140333485,0.022645998203907336,0.289637204550411,0.7720938012885088,0.7720938012885088
