pathway,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Pentose phosphate pathway,15886.991499238822,0.16186656620347462,0.026394710481844597,6.132538044499989,8.648801689717622e-10,3.286544642092696e-8
Nitrogen fixation,318.957609798533,-1.5435376831769296,0.4158538906888527,-3.7117307730849745,2.0584687226917928e-4,0.0039110905731144065
Organic degradation and synthesis,56714.15632328881,0.07384290586748807,0.021118793489535537,3.4965494550660567,4.713171209126757e-4,0.0059700168648938925
SOX systems,4175.071139406523,-0.3346799241304508,0.10433767173111619,-3.2076614187149874,0.0013381894003422657,0.01101256179546044
Sulphur oxidation,11492.18737495413,-0.2422515698323389,0.07606721637413981,-3.1847040207283825,0.0014490212888763738,0.01101256179546044
Assimilatory sulphate reduction,13890.4601926517,0.08589125069429063,0.029024639678295397,2.959252953569654,0.003083858531763023,0.019531104034499144
Related sulphur genes,10136.955622027845,-0.2838036417950206,0.098234383566809,-2.889045886891593,0.0038641268189222567,0.020976688445577967
Serine cycle,62137.41118897297,0.10124224887577457,0.03633198357631891,2.786587433716776,0.005326624638304562,0.025301467031946672
Denitrication,12877.224020138723,-0.30437942999773204,0.11107552892022897,-2.740292420451385,0.006138454330259221,0.025917918283316712
Related phosphorus genes,2969.429612969397,0.10639327810840524,0.04221885339549005,2.520041866408681,0.011734087669786723,0.04458953314518955
Phosphonate and phosphinate metabolism,3782.021412121068,0.28525370414571977,0.12171343145336454,2.3436501685930775,0.01909607321092238,0.06596825291045913
Annamox,65.21891714698411,1.630751842965414,0.7305487040244207,2.23222878089029,0.025599846142686306,0.07483031949400612
Nitrification,1355.91781839866,0.3371628140696452,0.14920672099590798,2.259702591271957,0.02383971537651654,0.07483031949400612
Purine metabolism,78153.83892146878,0.08504568913022958,0.04350716696292434,1.9547512528844566,0.050612437402095735,0.13737661580568844
Methylotrophic methanogenesis,4932.788799990857,0.30024580467361284,0.15636956020373274,1.9201039146137189,0.054844774937641366,0.13894009650869146
Two-component system,23007.562900232242,-0.07306321682580293,0.0388945017020228,-1.8784973101224511,0.0603131646937783,0.14324376614772347
Anaerobic oxidation of methane (AOM),15700.981863801042,0.12312546036007661,0.07489118411469234,1.6440581333513935,0.10016419486505056,0.22389643558070124
Pyrimidine metabolism,35476.03579855323,0.05471684217966532,0.03599382430394068,1.5201730640685158,0.1284674852919453,0.271209135616329
Assimilatory nitrate reduction,911.1693317024699,-0.20821136427301498,0.1512304167858538,-1.3767823212961694,0.16857955819932965,0.30262429332785534
Dissimilatory nitrate reduction,3387.2637280876434,-0.11477634687354767,0.08466380008925715,-1.3556720434535685,0.17520353824244256,0.30262429332785534
Phosphotransferase system,2129.287027244305,0.22363529533483884,0.15891680048063941,1.4072476582618083,0.15935396412355196,0.30262429332785534
Transporters,18945.836377146232,-0.0764544591701069,0.054589510812468996,-1.400533876054512,0.161353506389253,0.30262429332785534
Related Nitrogen genes,3311.8431086105247,-0.30398014095791276,0.25278732093403433,-1.2025134007304004,0.2291646772958161,0.3786199016191744
Oxidation of formate,10439.731569310992,0.07394748912212698,0.07135533977257358,1.036327335246601,0.30004945767477575,0.47507830798506157
Oxidation of methane and C1 compounds,11885.6343464001,-0.09632883914338213,0.10043968310008454,-0.959071516059981,0.3375227186476309,0.4777318522065401
RuMP cycle,13302.350687748549,0.09322707304824908,0.0975923556407179,0.9552702405448699,0.3394410528835943,0.4777318522065401
Sulphur disproportionation,464.886034487014,-0.2615052731543826,0.27103600654824345,-0.9648359141826257,0.33462700435067555,0.4777318522065401
Aceticlastic methanogenesis,55766.390993224304,-0.04788818947145514,0.05414765535109483,-0.8844000568620535,0.3764802922910384,0.5109375395378378
Organic sulphur transformation,57773.756849364894,0.09488004850627364,0.11313740351598582,0.8386267101566239,0.40167881717986226,0.5263377604425781
Pyruvate metabolism,21179.939214256665,0.028076465636964948,0.034819407030977106,0.806345312313524,0.4200437702985887,0.5320554423782123
Oxidative phosphorylation,6463.968874998431,-0.04697540486808786,0.06453451802003393,-0.7279112993995699,0.4666678858236409,0.5720445052031727
Central methanogenic pathway,45700.229128100924,0.10202614790831974,0.1541056119146927,0.6620534232380696,0.5079369844213155,0.6031751690003122
Oxidation of formaldehyde,6052.166227152248,-0.07238845860157285,0.13928668783662784,-0.519708377921074,0.6032668467251925,0.6946709144108277
Hydrogenotrophic methanogenesis,4437.677956415369,0.03779958009455187,0.0852475936083222,0.4434093502770937,0.6574696739582153,0.7348190473650642
Organic phosphoester hydrolysis,3903.985382244544,-0.033336874648369375,0.11452612560109333,-0.2910853263689828,0.7709860621186171,0.8370705817287842
Dissimilatory sulphur reduction and oxidation,16391.02573878732,-0.025396704079642052,0.16252940541619548,-0.1562591336294359,0.875828767225612,0.8994998149884663
Sulphur reduction,12550.972874201803,0.03952958713287929,0.2159162790208658,0.18307830846352818,0.8547365754481941,0.8994998149884663
Linkages between inorganic and organic sulphur transformation,33465.36600092779,0.006031860474426973,0.05859088946315749,0.10294877803860385,0.9180036240570402,0.9180036240570402
