pathway,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Sulphur oxidation,11492.18737495413,-0.2518048432670523,0.04202531356047415,-5.991742165223986,2.0760489042091414e-9,7.681380945573823e-8
Purine metabolism,78153.83892146878,0.13364400374281468,0.02396036228454431,5.577712146240045,2.43702486579455e-8,3.753906272400305e-7
Serine cycle,62137.41118897297,0.11097462267150124,0.020035484780643594,5.5389037942677835,3.0437077884326793e-8,3.753906272400305e-7
Denitrication,12877.224020138723,-0.3326118565692633,0.06121821305836232,-5.4332173376600865,5.534692735535366e-8,5.119590780370214e-7
Related sulphur genes,10136.955622027845,-0.2800011701004363,0.0541883154438181,-5.16718720276032,2.3764321247483175e-7,1.758559772313755e-6
SOX systems,4175.071139406523,-0.2714295124389445,0.05777338098136077,-4.698176008195104,2.6249518006567317e-6,1.6187202770716514e-5
Oxidation of methane and C1 compounds,11885.6343464001,-0.25856459047938146,0.05540770301913022,-4.6665820164049885,3.062514341550374e-6,1.6187575805337692e-5
Anaerobic oxidation of methane (AOM),15700.981863801042,-0.19165340725979516,0.041370865659960974,-4.632569423010134,3.611551693328286e-6,1.6703426581643323e-5
Methylotrophic methanogenesis,4932.788799990857,0.37810568726582766,0.08609747648550874,4.391600110712507,1.1251950566386906e-5,4.6258018995146164e-5
Pyrimidine metabolism,35476.03579855323,0.08531761812441474,0.019892866682976972,4.288854868636104,1.7959667362287386e-5,6.645076924046334e-5
Oxidation of formaldehyde,6052.166227152248,-0.31877402031427887,0.0768823807164024,-4.146255843587195,3.379561903333146e-5,1.1367617311211492e-4
Pentose phosphate pathway,15886.991499238822,0.06087067485808888,0.014853489325323228,4.098072414157423,4.1660496017179943e-5,1.284531960529715e-4
Phosphotransferase system,2129.287027244305,0.32563027319363996,0.08760992458060586,3.716819467114625,2.0174649445037094e-4,5.742015611279788e-4
Oxidative phosphorylation,6463.968874998431,-0.12855870036208827,0.03589210064945501,-3.5818104272489926,3.412213680065325e-4,9.017993297315501e-4
Central methanogenic pathway,45700.229128100924,0.3017810765950115,0.08475391544626017,3.560674158899025,3.6990387387690003e-4,9.124295555630202e-4
Nitrification,1355.91781839866,0.27236886613344186,0.08262792298258022,3.2963295736099187,9.795702726856502e-4,0.0022652562555855664
Linkages between inorganic and organic sulphur transformation,33465.36600092779,-0.10407919607163071,0.0323111324917261,-3.2211559312655553,0.0012767466227951323,0.0027788014731423465
Organic phosphoester hydrolysis,3903.985382244544,-0.19228319790625448,0.06343647656554546,-3.0311140895030433,0.0024365316320624723,0.004849628830527237
Two-component system,23007.562900232242,-0.06512684182304111,0.021533011716829007,-3.0245115118820833,0.002490349940000473,0.004849628830527237
RuMP cycle,13302.350687748549,0.15205845416325517,0.05374122087110352,2.8294566386566125,0.004662711792511657,0.008215254110615777
Sulphur reduction,12550.972874201803,0.3375995289467646,0.11873702578810329,2.843254045702987,0.004465546057154822,0.008215254110615777
Organic sulphur transformation,57773.756849364894,-0.1675209465702025,0.06225231237159058,-2.690999581995483,0.007123828411327729,0.011980984146323908
Dissimilatory nitrate reduction,3387.2637280876434,-0.12035523041553182,0.04704111504845939,-2.5585114275362715,0.010512136506221802,0.016910828292617683
Related phosphorus genes,2969.429612969397,0.04535682564261654,0.02416588780407845,1.8768946545784144,0.06053253365442847,0.09332098938391056
Dissimilatory sulphur reduction and oxidation,16391.02573878732,0.16603308013367565,0.08939978796147181,1.8571976949792108,0.063283032821467,0.09365888857577115
Nitrogen fixation,318.957609798533,-0.4139902917877992,0.22571095640410752,-1.834161258200514,0.06663006040105493,0.09481970133996279
Transporters,18945.836377146232,-0.05439099030331948,0.030159213469068833,-1.8034618296363285,0.07131571487223477,0.0977289426026921
Related Nitrogen genes,3311.8431086105247,0.20478067672639205,0.13891837416656003,1.4741079281626532,0.14045253423804677,0.18559799167170465
Assimilatory nitrate reduction,911.1693317024699,0.10974549950782743,0.08374268075190446,1.3105085545679958,0.1900238521766498,0.24226880190856678
Oxidation of formate,10439.731569310992,0.050890499039148926,0.03939571159622372,1.2917776320615322,0.19643416370964872,0.24226880190856678
Organic degradation and synthesis,56714.15632328881,0.014060200170279908,0.011736219159040514,1.1980178607562224,0.23091006378460968,0.27560233419453417
Pyruvate metabolism,21179.939214256665,0.02164829125534737,0.019317255258824117,1.1206711805217997,0.26242785385994843,0.30343220602556537
Aceticlastic methanogenesis,55766.390993224304,0.031250394584289,0.02981292210380733,1.0482164235856,0.2945389053772033,0.3302405908774703
Hydrogenotrophic methanogenesis,4437.677956415369,0.01825090047675526,0.047268256947180766,0.38611325349165015,0.6994127946616813,0.7393792400709203
Phosphonate and phosphinate metabolism,3782.021412121068,-0.027502206039668915,0.06743218283361069,-0.4078498557214257,0.6833839087458924,0.7393792400709203
Assimilatory sulphate reduction,13890.4601926517,-0.004161088108891322,0.016328186535236513,-0.25484079936933723,0.7988460620073222,0.8196475451720915
Sulphur disproportionation,464.886034487014,-0.0340628159578992,0.14939941525907877,-0.22799832180621107,0.8196475451720915,0.8196475451720915
Annamox,65.21891714698411,-0.13627540064714014,0.4099936165032605,-0.3323842010258626,0.7395991668174602,NA
