pathway,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Aceticlastic methanogenesis,40676.623788543984,0.017580688039021082,0.06724966866230024,0.2614241584936865,0.7937654288363412,0.9848599012944016
Anaerobic oxidation of methane (AOM),10243.95378595854,0.042655720836810504,0.07377723177863124,0.5781691696538451,0.563149911405438,0.9848599012944016
Annamox,35.23084696798642,0.014345824140519903,0.7559808475461134,0.018976438605668295,0.9848599012944016,0.9848599012944016
Assimilatory nitrate reduction,696.4135039055112,0.017841352858383286,0.15441446097189637,0.11554198192376836,0.9080155465131368,0.9848599012944016
Assimilatory sulphate reduction,9903.691201210393,-0.010630823987088577,0.04416767329387023,-0.24069241583898343,0.8097935174786035,0.9848599012944016
Central methanogenic pathway,38024.08314658608,0.05635091001087087,0.0924882720868715,0.6092762762174011,0.5423413292463475,0.9848599012944016
Denitrication,8094.761254038887,0.06352869399108405,0.0801788427999768,0.7923373769507988,0.42816398328301075,0.9848599012944016
Dissimilatory nitrate reduction,2303.0134629804083,0.033883242019073875,0.10818897166813238,0.31318572953082574,0.754139559652878,0.9848599012944016
Dissimilatory sulphur reduction and oxidation,12875.569565363763,0.07540663117643713,0.12451139900103514,0.6056203028913861,0.5447669171786388,0.9848599012944016
Hydrogenotrophic methanogenesis,3218.745093609469,-0.04327286714406931,0.11336405268243166,-0.3817159506928551,0.7026720674592533,0.9848599012944016
Linkages between inorganic and organic sulphur transformation,22946.585094437156,-0.019992381142345937,0.057220674862705115,-0.34939086598184166,0.7267958896753067,0.9848599012944016
Methylotrophic methanogenesis,4195.793580423618,-0.03666696469547393,0.08507091695352019,-0.43101645084544576,0.6664564088863496,0.9848599012944016
Nitrification,1086.881977117724,0.04997330139638456,0.12663078089865357,0.3946378679949838,0.6931101625333489,0.9848599012944016
Nitrogen fixation,188.09357723310674,0.04484594200550127,0.42751361692367634,0.10489944701225173,0.9164555977687989,0.9848599012944016
Organic degradation and synthesis,40843.97759177158,-0.013669090950666547,0.03431633840606834,-0.39832603318334714,0.690389873065719,0.9848599012944016
Organic phosphoester hydrolysis,2594.808806749892,-0.017771552032398115,0.08372085202867255,-0.21227151422577198,0.8318952173869811,0.9848599012944016
Organic sulphur transformation,38663.23772214221,-0.02574539098936892,0.08815079876887814,-0.2920607793568672,0.7702401534574727,0.9848599012944016
Oxidation of formaldehyde,3816.464768010464,0.04655603366257117,0.10766602846955509,0.4324115445173674,0.6654423290310519,0.9848599012944016
Oxidation of formate,7638.398751792611,0.02360580675513308,0.06688037543700168,0.35295565554007235,0.7241216853815966,0.9848599012944016
Oxidation of methane and C1 compounds,7650.308973777528,-0.0314168039678751,0.07299986390655559,-0.4303679799744638,0.6669279837306651,0.9848599012944016
Oxidative phosphorylation,4392.699177004365,0.04043318775354463,0.06398593697243832,0.6319074107012149,0.5274473806185639,0.9848599012944016
Pentose phosphate pathway,11634.526774447151,-0.027442138222658518,0.04138529679862962,-0.6630890762046486,0.5072735064289858,0.9848599012944016
Phosphonate and phosphinate metabolism,2682.307685150676,-0.039571820211088564,0.10857126977548524,-0.3644778245010785,0.7155012301608608,0.9848599012944016
Phosphotransferase system,1774.0405411914962,-0.07221428371789576,0.10800139484674316,-0.6686421394868995,0.5037237849401464,0.9848599012944016
Purine metabolism,59430.49794629366,0.0090072554385105,0.03543159194330947,0.2542153751635575,0.7993291730393749,0.9848599012944016
Pyrimidine metabolism,26422.30774849858,0.03008577771750215,0.04503813888233656,0.6680066819835098,0.5041293272046738,0.9848599012944016
Pyruvate metabolism,15309.354977658973,-0.0036753960519496486,0.04364745306243774,-0.08420642658557854,0.9328923086623185,0.9848599012944016
Related Nitrogen genes,2711.971484084227,0.09434864948286886,0.22323253715954094,0.4226473912960067,0.6725525443187823,0.9848599012944016
Related phosphorus genes,2163.378667143332,-0.002401702729237754,0.07133798538884198,-0.03366653426147083,0.9731430656267807,0.9848599012944016
Related sulphur genes,6488.27457496161,-0.018542737173318273,0.08466997840444221,-0.2190001405781087,0.826649938259205,0.9848599012944016
RuMP cycle,10235.023644151432,0.04773974027036563,0.07478458285580766,0.6383633958674709,0.5232371528235673,0.9848599012944016
SOX systems,2703.8515197039987,0.0669734355613246,0.07825546900036874,0.8558307351146156,0.39209141198286757,0.9848599012944016
Serine cycle,46700.40225271623,-0.002660142507520831,0.034777293221094595,-0.07649078640505837,0.9390286438849224,0.9848599012944016
Sulphur disproportionation,334.363762913289,0.18009799186196046,0.34417059303522046,0.5232811736577687,0.6007786001683428,0.9848599012944016
Sulphur oxidation,7436.216112679876,0.007471022696808144,0.06520057672176816,0.11458522412599818,0.9087738919989908,0.9848599012944016
Sulphur reduction,10806.086788772478,0.047024561806695654,0.15389582113555497,0.3055610052288252,0.7599389145188278,0.9848599012944016
Transporters,13337.706200591618,-0.01864488766294115,0.060130360513681175,-0.3100744366682945,0.7565043514430149,0.9848599012944016
Two-component system,16034.835411062757,0.019879018363598542,0.059580209876390754,0.3336513651905714,0.7386426533129191,0.9848599012944016
