pathway,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Sulphur reduction,13303.056472437827,0.3935110251702957,0.07509098125622939,5.240456557992453,1.601797946186369e-7,6.086832195508203e-6
Related Nitrogen genes,3611.502511407818,0.5517194269348891,0.11674452761811072,4.725869710481403,2.291325344563017e-6,4.353518154669732e-5
Organic sulphur transformation,68856.2329650383,-0.18671169519265082,0.041471201922135686,-4.502201203215948,6.725326740128989e-6,8.518747204163386e-5
RuMP cycle,14941.881686146025,0.12680203703683396,0.028672887747955983,4.422367155741868,9.762537469542992e-6,9.274410596065842e-5
Oxidation of formate,12005.351227987148,0.11901253518041201,0.027914129746489894,4.263523035153099,2.0122874524107398e-5,1.529338463832162e-4
Aceticlastic methanogenesis,64201.71718738294,0.0863242198157387,0.021415110130797554,4.030995838382073,5.554102722297444e-5,3.01508433496147e-4
Phosphonate and phosphinate metabolism,4396.284474740677,-0.26626317369078656,0.06560931666599443,-4.05831347164132,4.9428390624992735e-5,3.01508433496147e-4
Central methanogenic pathway,49324.79489187993,0.18803747981798716,0.04702693547352228,3.9985059184615266,6.374358742605523e-5,3.0278204027376233e-4
Oxidation of formaldehyde,7381.89719020651,-0.1601950076232477,0.04671935014301962,-3.4288791931576683,6.060792365411655e-4,0.0025590012209515877
Dissimilatory sulphur reduction and oxidation,18237.48408146889,0.18186983005478094,0.05356923836423051,3.395042296816,6.861799895665776e-4,0.002607483960352995
Linkages between inorganic and organic sulphur transformation,39526.073081176415,-0.06752918496259873,0.020183630745811663,-3.3457402096306095,8.206324379391985e-4,0.002834912058335413
Assimilatory sulphate reduction,16139.216141046369,-0.06682844130834018,0.0218209122165575,-3.062586964518898,0.0021943270485675665,0.006414186757351348
Nitrogen fixation,399.6145561141025,0.8830727765965348,0.2875615198261728,3.070900366399304,0.0021341435218748947,0.006414186757351348
Organic phosphoester hydrolysis,4667.276174821945,-0.10454700241600828,0.03632611756155649,-2.8780120044166013,0.004001899102780647,0.010862297564690327
Anaerobic oxidation of methane (AOM),18916.64582405684,-0.10024808908890115,0.036626442050045616,-2.737041423568367,0.006199448618023888,0.014723690467806734
Organic degradation and synthesis,65604.01032866753,-0.038206555088224445,0.013956460077752487,-2.7375534251072877,0.0061898065293326315,0.014723690467806734
Oxidation of methane and C1 compounds,14391.017856096758,-0.08575924394242383,0.0326158036159896,-2.629377002392213,0.00855414698926113,0.019121034446583703
SOX systems,5045.331654536319,-0.18289860932689259,0.0770986677814133,-2.3722667925396395,0.017679319783501193,0.037323008431835857
Pyruvate metabolism,24473.63395659111,0.04018777841100521,0.017670198189459328,2.2743252780819474,0.022946436406903418,0.045892872813806836
Oxidative phosphorylation,7663.400201369381,-0.05227190650218602,0.02433338035220795,-2.148156390340687,0.0317013337759463,0.06023253417429796
Two-component system,27013.51369459132,0.04688761962673635,0.022555473961644902,2.078768981155871,0.03763858921925032,0.06810792334911962
Phosphotransferase system,2294.60468546274,0.11914379769689615,0.06565104894401141,1.814804174698023,0.06955400863244413,0.11491531861012508
Pyrimidine metabolism,40426.60852474937,-0.02476787705403069,0.013534175028601079,-1.830024881582365,0.06724621831812953,0.11491531861012508
Pentose phosphate pathway,18238.08392026682,-0.04678068275366083,0.026547927536901203,-1.762121833752801,0.07804871507283548,0.12357713219865617
Sulphur oxidation,13894.695980863653,-0.09010696211464729,0.05373428687609178,-1.6768988173683004,0.09356226945915831,0.14221464957792063
Denitrication,15737.918242962274,-0.09717386375664443,0.0597213360098185,-1.6271213983000739,0.10371131719063315,0.15157807897092535
Sulphur disproportionation,539.6042536087048,0.16604676509365887,0.10389692792324866,1.598187438384337,0.11000126850443263,0.15481660011734963
Assimilatory nitrate reduction,1025.4015068566707,-0.14075772967107741,0.09432164199366594,-1.4923163623522355,0.13561622926924669,0.18405059686540623
Methylotrophic methanogenesis,5254.688055646521,0.07893386121082943,0.05839646479677793,1.351689036066181,0.1764748139045367,0.23124285959904808
Hydrogenotrophic methanogenesis,5115.041098040886,-0.034164297897607415,0.027902900666103167,-1.2243995098011684,0.22080155415383312,0.2796819685948553
Transporters,22132.470284195002,-0.03175921345499904,0.026721964879205792,-1.188505920076,0.23463414883941675,0.2876160534160592
Dissimilatory nitrate reduction,4018.926188852706,-0.041514543980330686,0.04959292731262605,-0.8371061405314814,0.40253290911664785,0.4768125606624687
Purine metabolism,88199.47111189013,0.013171618575640791,0.01612696210018919,0.8167451807607505,0.4140740658384596,0.4768125606624687
Serine cycle,70511.02951363273,0.012027851690774959,0.016492473909212577,0.7292933587153524,0.46582223388346516,0.5206248496344611
Annamox,83.65150538162544,0.28450445185236634,0.44384766246506174,0.6409957197302163,0.5215254638917659,0.5662276465110601
Nitrification,1491.1841921266703,0.045340466306946894,0.08883539242953906,0.510387415048673,0.6097800719231564,0.643656742585554
Related phosphorus genes,3417.782266512877,-0.011397717679226016,0.02942165659754359,-0.38739211170650434,0.6984659427451338,0.6984659427451338
Related sulphur genes,12307.91487519298,-0.023596258888150132,0.05936529086687439,-0.39747567212404167,0.6910167229623568,0.6984659427451338
