#NAME,Year,Methane,Oxygen,Exp,depth,sediment,Site,d13C,Oxidation
McM22_E41_T16_0-3cm_S1,22,No,Yes,4,0_3,surface,CCS,4.698,NA
McM22_E41_T16_3-6cm_S2,22,No,Yes,4,3_6,deep,CCS,6.341,NA
McM22_E41_T16_6-9cm,22,No,Yes,4,6_9,deep,CCS,6.559,
McM22_E42_T16_0-3cm_S4,22,No,Yes,4,0_3,surface,CCS,4.938,NA
McM22_E42_T16_3-6cm_S5,22,No,Yes,4,3_6,deep,CCS,6.493,NA
McM22_E42_T16_6-9cm_S6,22,No,Yes,4,6_9,deep,CCS,7.102,NA
McM22_E43_T16_0-3cm_S7,22,Yes,Yes,4,0_3,surface,CCS,32.154,Yes
McM22_E43_T16_3-6cm_S8,22,Yes,Yes,4,3_6,deep,CCS,187.93,Yes
McM22_E43_T16_6-9cm_S9,22,Yes,Yes,4,6_9,deep,CCS,148.89,Yes
McM22_E44_T16_0-3cm_S10,22,Yes,Yes,4,0_3,surface,CCS,1098.424,Yes
McM22_E44_T16_3-6cm,22,Yes,Yes,4,3_6,deep,CCS,946.117,
McM22_E44_T16_6-9cm_S12,22,Yes,Yes,4,6_9,deep,CCS,986.35,Yes
McM22_E4_T0_0-3cm_S13,22,NA,NA,4,0_3,surface,CCS,NA,NA
McM22_E4_T0_3-6cm_S14,22,NA,NA,4,3_6,deep,CCS,NA,NA
McM22_E4_T0_6-9cm_S15,22,NA,NA,4,6_9,deep,CCS,NA,NA
McM22_E51_B,22,,Yes,5,6_9,deep,CCS,1962.119,Yes
McM22_E52_B_S17,22,Yes,Yes,5,6_9,deep,CCS,1155.805,Yes
McM22_E53_B_S18,22,Yes,Yes,5,6_9,deep,CCS,1957.122,Yes
McM22_E1_A_S19,22,Yes,Yes,1,0_3,surface,Jetty,16.565,Yes
McM22_E1_B_S20,22,No,Yes,1,0_3,surface,Jetty,4.95,NA
McM22_E31_T12_0-3_cm_S21,22,Yes,Yes,3,0_3,surface,CCS,52.249,Yes
McM22_E32_T12_0-3_cm_S22,22,No,Yes,3,0_3,surface,CCS,9.823,NA
McM23_E12_T0_13CH4_S23,23,NA,NA,12,4_8,deep,CCS,NA,NA
McM23_E12_T0_13CH4_O2_S24,23,NA,NA,12,0_4,surface,CCS,NA,NA
McM23_E12_TF_CH4_S25,23,Yes,No,12,4_8,deep,CCS,48.66,Yes
McM23_E12_TF_-CH4_S26,23,No,No,12,4_8,deep,CCS,4.575,NA
McM23_E12_TF_CH4_O2_S27,23,Yes,Yes,12,0_4,surface,CCS,10.35,No
McM23_E12_TF_-CH4_O2_S28,23,No,Yes,12,0_4,surface,CCS,7.64,NA
McM23_E14_T0_13CH4_S29,23,NA,NA,14,4_8,deep,CCS,NA,NA
McM23_E14_T0_13CH4_O2_S30,23,NA,NA,14,0_4,surface,CCS,NA,NA
McM23_E14_TF_CH4_S31,23,Yes,No,14,4_8,deep,CCS,8.463,No
McM23_E14_TF_-CH4_S32,23,No,No,14,4_8,deep,CCS,4.953,NA
McM23_E14_TF_CH4_O2_S33,23,Yes,Yes,14,0_4,surface,CCS,8.515,No
McM23_E14_TF_-CH4_C6301_C6328O2_S34,23,No,Yes,14,0_4,surface,CCS,6.33,NA
