Taxon1,Taxon2,Correlation,P.value,Method
p__Asgardarchaeota,Not_Assigned,0.8883,1e-04,secom_pearson1
p__Bacteroidota,Not_Assigned,-0.9133,0,secom_pearson1
p__Bdellovibrionota,Not_Assigned,-0.7858,0.0024,secom_pearson1
p__Caldatribacteriota,Not_Assigned,0.8564,8e-04,secom_pearson1
p__Cloacimonadota,Not_Assigned,0.8036,0.0016,secom_pearson1
p__Cyanobacteria,Not_Assigned,-0.694,0.0123,secom_pearson1
p__Dependentiae,Not_Assigned,0.9673,0,secom_pearson1
p__Diatomea,Not_Assigned,-0.8518,4e-04,secom_pearson1
p__Fermentibacterota,Not_Assigned,0.7327,0.0067,secom_pearson1
p__Latescibacterota,Not_Assigned,0.6294,0.0283,secom_pearson1
p__LCP_89,Not_Assigned,0.8265,9e-04,secom_pearson1
p__Myxococcota,Not_Assigned,-0.6502,0.0221,secom_pearson1
p__Nanoarchaeota,Not_Assigned,0.8462,5e-04,secom_pearson1
p__NB1_j,Not_Assigned,-0.9269,0,secom_pearson1
p__Nitrospinota,Not_Assigned,-0.6775,0.0155,secom_pearson1
p__Nitrospirota,Not_Assigned,-0.892,1e-04,secom_pearson1
p__NKB15,Not_Assigned,0.8681,0.0024,secom_pearson1
p__PAUC34f,Not_Assigned,0.8094,0.0014,secom_pearson1
p__Planctomycetota,Not_Assigned,-0.7691,0.0035,secom_pearson1
p__Proteobacteria,Not_Assigned,-0.9622,0,secom_pearson1
p__Verrucomicrobiota,Not_Assigned,-0.9478,0,secom_pearson1
p__WPS_2,Not_Assigned,-0.8785,0.0018,secom_pearson1
p__Bacteroidota,p__Acetothermia,-0.8437,0.0042,secom_pearson1
p__Bdellovibrionota,p__Acetothermia,-0.7816,0.0129,secom_pearson1
p__Caldatribacteriota,p__Acetothermia,0.897,0.001,secom_pearson1
p__Cloacimonadota,p__Acetothermia,0.7465,0.0209,secom_pearson1
p__Cyanobacteria,p__Acetothermia,-0.9121,6e-04,secom_pearson1
p__Hydrogenedentes,p__Acetothermia,0.687,0.0409,secom_pearson1
p__Latescibacterota,p__Acetothermia,0.7839,0.0124,secom_pearson1
p__Nanoarchaeota,p__Acetothermia,0.8287,0.0058,secom_pearson1
p__Verrucomicrobiota,p__Acetothermia,-0.7417,0.0222,secom_pearson1
p__WPS_2,p__Acetothermia,-0.8596,0.0282,secom_pearson1
p__Asgardarchaeota,p__Acidobacteriota,0.8249,0.001,secom_pearson1
p__Bacteroidota,p__Acidobacteriota,-0.847,5e-04,secom_pearson1
p__Bdellovibrionota,p__Acidobacteriota,-0.8326,8e-04,secom_pearson1
p__Caldatribacteriota,p__Acidobacteriota,0.7176,0.0129,secom_pearson1
p__Cloacimonadota,p__Acidobacteriota,0.693,0.0125,secom_pearson1
p__Dependentiae,p__Acidobacteriota,0.9203,0,secom_pearson1
p__Diatomea,p__Acidobacteriota,-0.8725,2e-04,secom_pearson1
p__Fermentibacterota,p__Acidobacteriota,0.6186,0.032,secom_pearson1
p__LCP_89,p__Acidobacteriota,0.7654,0.0037,secom_pearson1
p__Nanoarchaeota,p__Acidobacteriota,0.7144,0.009,secom_pearson1
p__NB1_j,p__Acidobacteriota,-0.7898,0.0022,secom_pearson1
p__Nitrospinota,p__Acidobacteriota,-0.6239,0.0302,secom_pearson1
p__Nitrospirota,p__Acidobacteriota,-0.8517,4e-04,secom_pearson1
p__NKB15,p__Acidobacteriota,0.7947,0.0105,secom_pearson1
p__PAUC34f,p__Acidobacteriota,0.7891,0.0023,secom_pearson1
p__Planctomycetota,p__Acidobacteriota,-0.5807,0.0477,secom_pearson1
p__Proteobacteria,p__Acidobacteriota,-0.9089,0,secom_pearson1
p__Verrucomicrobiota,p__Acidobacteriota,-0.8794,2e-04,secom_pearson1
p__WPS_2,p__Acidobacteriota,-0.8245,0.0062,secom_pearson1
p__Asgardarchaeota,p__Actinobacteriota,0.9495,0,secom_pearson1
p__Bacteroidota,p__Actinobacteriota,-0.9213,0,secom_pearson1
p__Bdellovibrionota,p__Actinobacteriota,-0.9376,0,secom_pearson1
p__Caldatribacteriota,p__Actinobacteriota,0.9015,1e-04,secom_pearson1
p__Cloacimonadota,p__Actinobacteriota,0.8984,1e-04,secom_pearson1
p__Cyanobacteria,p__Actinobacteriota,-0.778,0.0029,secom_pearson1
p__Dependentiae,p__Actinobacteriota,0.85,5e-04,secom_pearson1
p__Diatomea,p__Actinobacteriota,-0.797,0.0019,secom_pearson1
p__Fermentibacterota,p__Actinobacteriota,0.8232,0.001,secom_pearson1
p__Hydrogenedentes,p__Actinobacteriota,0.6426,0.0242,secom_pearson1
p__Latescibacterota,p__Actinobacteriota,0.7797,0.0028,secom_pearson1
p__LCP_89,p__Actinobacteriota,0.9089,0,secom_pearson1
p__Myxococcota,p__Actinobacteriota,-0.764,0.0038,secom_pearson1
p__Nanoarchaeota,p__Actinobacteriota,0.9317,0,secom_pearson1
p__NB1_j,p__Actinobacteriota,-0.9349,0,secom_pearson1
p__Nitrospinota,p__Actinobacteriota,-0.8218,0.001,secom_pearson1
p__Nitrospirota,p__Actinobacteriota,-0.8097,0.0014,secom_pearson1
p__NKB15,p__Actinobacteriota,0.8117,0.0079,secom_pearson1
p__PAUC34f,p__Actinobacteriota,0.8319,8e-04,secom_pearson1
p__Planctomycetota,p__Actinobacteriota,-0.8413,6e-04,secom_pearson1
p__Proteobacteria,p__Actinobacteriota,-0.9529,0,secom_pearson1
p__Sva0485,p__Actinobacteriota,0.6481,0.0227,secom_pearson1
p__Verrucomicrobiota,p__Actinobacteriota,-0.9582,0,secom_pearson1
p__WPS_2,p__Actinobacteriota,-0.921,4e-04,secom_pearson1
