#NAME,McM22_E41_T16_0-3cm_S1,McM22_E41_T16_3-6cm_S2,McM22_E41_T16_6-9cm,McM22_E42_T16_0-3cm_S4,McM22_E42_T16_3-6cm_S5,McM22_E42_T16_6-9cm_S6,McM22_E43_T16_0-3cm_S7,McM22_E43_T16_3-6cm_S8,McM22_E43_T16_6-9cm_S9,McM22_E44_T16_0-3cm_S10,McM22_E44_T16_3-6cm,McM22_E44_T16_6-9cm_S12,McM22_E4_T0_0-3cm_S13,McM22_E4_T0_3-6cm_S14,McM22_E4_T0_6-9cm_S15,McM22_E51_B,McM22_E52_B_S17,McM22_E53_B_S18,McM22_E1_A_S19,McM22_E1_B_S20,McM22_E31_T12_0-3_cm_S21,McM22_E32_T12_0-3_cm_S22,McM23_E12_T0_13CH4_S23,McM23_E12_T0_13CH4_O2_S24,McM23_E12_TF_CH4_S25,McM23_E12_TF_-CH4_S26,McM23_E12_TF_CH4_O2_S27,McM23_E12_TF_-CH4_O2_S28,McM23_E14_T0_13CH4_S29,McM23_E14_T0_13CH4_O2_S30,McM23_E14_TF_CH4_S31,McM23_E14_TF_-CH4_S32,McM23_E14_TF_CH4_O2_S33,McM23_E14_TF_-CH4_C6301_C6328O2_S34
d__Bacteria;p__Patescibacteria;c__Berkelbacteria;o__Berkelbacteria;f__Berkelbacteria;g__Berkelbacteria;s__,0,2,0,0,0,4,0,6,8,0,0,0,0,0,8,0,2,0,0,0,2,0,4,0,0,3,0,0,0,0,4,5,3,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__,1567,1455,278,2075,1761,507,2508,2659,821,1640,1028,829,1174,901,966,337,464,254,347,629,848,589,942,1497,654,377,1281,1014,440,682,456,949,657,1371
d__Bacteria;p__Latescibacterota;c__Latescibacterota;o__Latescibacterota;f__Latescibacterota;g__Latescibacterota;s__,526,1135,482,661,1056,592,798,1710,934,595,576,526,433,442,528,312,317,256,415,343,725,697,765,301,471,458,426,247,1116,564,547,1443,450,784
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__UBA12409;g__UBA12409;s__,0,5,0,2,0,2,0,0,0,0,0,0,0,7,3,2,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,2,0,0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__uncultured;g__uncultured;s__,0,6,0,0,0,0,0,2,13,7,7,0,0,0,0,10,11,0,16,10,2,0,9,18,0,0,7,7,0,0,0,10,0,2
d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190;g__OM190;s__,632,728,356,556,782,424,666,1161,486,633,308,396,398,347,339,327,240,276,558,587,687,807,400,1090,242,289,1077,1163,327,668,156,445,615,1035
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__;__,218,355,209,249,334,256,281,681,262,298,175,225,122,132,205,134,143,125,41,47,34,34,24,180,18,30,153,159,24,34,24,34,49,132
d__Bacteria;p__Planctomycetota;c__Pla4_lineage;o__Pla4_lineage;f__Pla4_lineage;g__Pla4_lineage;s__,48,102,64,27,118,75,41,167,136,48,52,66,35,52,91,75,54,72,131,81,188,164,296,97,174,234,126,77,534,226,229,631,145,241
d__Bacteria;p__Planctomycetota;__;__;__;__;__,18,49,38,19,45,29,35,103,93,24,14,59,14,35,65,67,41,56,132,121,68,78,230,107,144,133,78,88,272,131,152,239,65,143
d__Bacteria;p__Planctomycetota;c__vadinHA49;o__vadinHA49;f__vadinHA49;g__vadinHA49;s__,27,48,18,25,48,25,11,57,43,19,13,35,23,52,63,27,31,30,110,101,63,42,109,76,74,78,64,79,91,54,49,118,42,90
d__Bacteria;p__Latescibacterota;c__Latescibacteria;o__Latescibacterales;f__Latescibacteraceae;g__Latescibacteraceae;s__,3,59,61,4,36,60,20,58,128,2,26,51,3,28,105,104,72,64,140,78,85,94,829,56,502,425,45,18,1044,115,541,970,116,178
